[2025-02-22 22:18:03][MAIN] - Bot is ready.
[2025-02-22 22:18:03][MAIN] - Serving 807946519: msg 4207
[2025-02-22 22:18:04][MAIN] - Contacting Arduino..
[2025-02-22 22:18:05][MAIN] - Arduino found!
[2025-02-22 22:18:05][MAIN] - Actuator running.
[2025-02-22 22:18:05][MAIN] - Pulling from GitHub: /home/claudio/Python-Projects/RoomServer
[2025-02-22 22:18:05][MAIN] - Serving 807946519: msg 4209
[2025-02-22 22:18:06][MAIN] - Already up to date.
[2025-02-22 22:18:06][MAIN] - To Arduino: LIGHTSOFF
[2025-02-22 22:18:09][MAIN] - IP 84.150.103.227 uploaded to:
[2025-02-22 22:18:09][MAIN] - https://storage.googleapis.com/ip-manager42.appspot.com/RaspberryPi-Cyan/ip_server.txt
[2025-02-22 22:18:10][FLASK] -  * Serving Flask app 'server'
[2025-02-22 22:18:10][FLASK] -  * Debug mode: off
[2025-02-22 22:18:10][WEBSOCKET] -  * Serving Flask app 'websocket'
[2025-02-22 22:18:10][WEBSOCKET] -  * Debug mode: off
[2025-02-22 22:18:14][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-22 22:18:24][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-22 22:18:34][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-22 22:18:44][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-22 22:18:54][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-22 22:19:04][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-22 22:19:14][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-22 22:19:24][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-22 22:19:34][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-22 22:19:44][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-22 22:19:54][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-22 22:20:04][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-22 22:20:14][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-22 22:20:24][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-22 22:20:34][FLASK] - AUDIO: {'audio': 'pingvol'}
