[2025-02-14 04:00:30][MAIN] - Contacting Arduino..
[2025-02-14 04:00:30][MAIN] - Arduino found!
[2025-02-14 04:00:30][MAIN] - Actuator running.
[2025-02-14 04:00:30][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-14 04:00:31][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-14 04:00:34][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-14 04:00:34][MAIN] - IP 84.150.103.227 uploaded to:
[2025-02-14 04:00:34][MAIN] - https://storage.googleapis.com/ip-manager42.appspot.com/RaspberryPi-Cyan/ip_server.txt
[2025-02-14 04:00:35][MAIN] - To Arduino: STRIPTOPOFF
[2025-02-14 04:00:35][MAIN] - Pulling from GitHub: /home/claudio/Python-Projects/RoomServer
[2025-02-14 04:00:35][FLASK] -  * Serving Flask app 'server'
[2025-02-14 04:00:35][FLASK] -  * Debug mode: off
[2025-02-14 04:00:35][WEBSOCKET] -  * Serving Flask app 'websocket'
[2025-02-14 04:00:35][WEBSOCKET] -  * Debug mode: off
[2025-02-14 04:00:36][MAIN] - Already up to date.
[2025-02-14 04:00:36][MAIN] - Audio set on automatically
[2025-02-14 04:00:36][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-14 04:00:37][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-14 04:00:38][MAIN] - To Arduino: STRIPTOPG4
[2025-02-14 04:00:38][MAIN] - Command AUDIOON sent
[2025-02-14 04:00:38][MAIN] - To Arduino: LIGHTSOFF
[2025-02-14 04:03:36][MAIN] - Audio set off automatically
[2025-02-14 04:03:36][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-14 04:03:37][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-14 04:03:40][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-14 04:03:41][MAIN] - To Arduino: STRIPTOPOFF
[2025-02-14 04:03:41][MAIN] - Command AUDIOOFF sent
[2025-02-14 07:30:00][MAIN] - To Arduino: LIGHTSON
[2025-02-14 15:53:04][FLASK] - AUDIO: {'audio': 'on'}
[2025-02-14 15:53:04][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-14 15:53:05][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-14 15:53:06][MAIN] - To Arduino: STRIPTOPG4
[2025-02-14 15:53:06][MAIN] - Command AUDIOON sent
[2025-02-14 15:53:07][FLASK] - STRIP: {'strip': 'topG4'}
[2025-02-14 15:53:07][MAIN] - To Arduino: STRIPOFF
[2025-02-14 15:53:07][MAIN] - To Arduino: STRIPTOPDEF
[2025-02-14 15:53:07][MAIN] - To Arduino: STRIPON
[2025-02-14 15:53:07][MAIN] - To Arduino: STRIPG4
[2025-02-14 15:53:07][MAIN] - Command STRIPTOPG4 sent
[2025-02-14 15:53:13][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:53:23][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:53:33][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:53:43][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:53:53][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:54:03][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:54:13][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:54:23][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:54:33][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:54:43][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:54:53][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:55:03][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:55:13][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:55:23][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:55:33][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:55:43][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:55:54][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:56:04][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:56:14][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:56:24][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:56:34][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:56:44][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:56:54][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:57:04][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:57:14][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:57:24][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:57:34][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:57:44][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:57:54][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:58:04][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:58:14][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:58:24][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:58:34][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:58:44][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:58:54][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:59:04][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:59:14][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:59:24][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:59:34][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:59:44][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 15:59:54][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 16:00:04][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 16:00:14][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-14 16:00:25][FLASK] - AUDIO: {'audio': 'pingvol'}
