[2025-02-26 04:00:14][MAIN] - Bot is ready.
[2025-02-26 04:00:14][MAIN] - Pulling from GitHub: /home/claudio/Python-Projects/RoomServer
[2025-02-26 04:00:15][MAIN] - Contacting Arduino..
[2025-02-26 04:00:16][MAIN] - Arduino found!
[2025-02-26 04:00:16][MAIN] - Actuator running.
[2025-02-26 04:00:16][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-26 04:00:16][MAIN] - Already up to date.
[2025-02-26 04:00:17][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-26 04:00:20][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-26 04:00:20][MAIN] - To Arduino: STRIPTOPOFF
[2025-02-26 04:00:20][MAIN] - Audio set on automatically
[2025-02-26 04:00:20][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-26 04:00:21][MAIN] - IP 84.150.103.227 uploaded to:
[2025-02-26 04:00:21][MAIN] - https://storage.googleapis.com/ip-manager42.appspot.com/RaspberryPi-Cyan/ip_server.txt
[2025-02-26 04:00:21][FLASK] -  * Serving Flask app 'server'
[2025-02-26 04:00:21][FLASK] -  * Debug mode: off
[2025-02-26 04:00:21][WEBSOCKET] -  * Serving Flask app 'websocket_server'
[2025-02-26 04:00:21][WEBSOCKET] -  * Debug mode: off
[2025-02-26 04:00:21][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-26 04:00:22][MAIN] - To Arduino: STRIPTOPG4
[2025-02-26 04:00:22][MAIN] - Command AUDIOON sent
[2025-02-26 04:00:22][MAIN] - To Arduino: LIGHTSOFF
[2025-02-26 04:03:20][MAIN] - Audio set off automatically
[2025-02-26 04:03:21][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-26 04:03:22][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-26 04:03:25][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-26 04:03:25][MAIN] - To Arduino: STRIPTOPOFF
[2025-02-26 04:03:25][MAIN] - Command AUDIOOFF sent
[2025-02-26 04:04:14][FLASK] - PING
[2025-02-26 07:30:00][MAIN] - To Arduino: LIGHTSON
[2025-02-26 08:22:12][FLASK] - AUDIO: {'audio': 'on'}
[2025-02-26 08:22:13][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-26 08:22:14][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-26 08:22:14][MAIN] - To Arduino: STRIPTOPG4
[2025-02-26 08:22:14][MAIN] - Command AUDIOON sent
[2025-02-26 08:22:17][FLASK] - STRIP: {'strip': 'topG4'}
[2025-02-26 08:22:18][MAIN] - To Arduino: STRIPOFF
[2025-02-26 08:22:18][MAIN] - To Arduino: STRIPTOPDEF
[2025-02-26 08:22:18][MAIN] - To Arduino: STRIPON
[2025-02-26 08:22:18][MAIN] - To Arduino: STRIPG4
[2025-02-26 08:22:18][MAIN] - Command STRIPTOPG4 sent
[2025-02-26 08:22:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:22:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:22:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:22:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:23:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:23:12][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:23:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:23:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:23:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:23:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:24:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:24:12][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:24:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:24:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:24:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:24:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:25:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:25:13][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:25:23][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:25:33][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:25:43][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:25:53][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:26:03][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:26:13][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:26:23][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:26:33][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:26:43][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:26:53][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:27:03][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:27:13][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:27:23][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:27:33][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:27:43][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:27:53][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:28:03][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:28:13][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:28:23][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-26 08:28:33][FLASK] - AUDIO: {'audio': 'pingvol'}
