[2025-02-13 04:00:13][MAIN] - Contacting Arduino..
[2025-02-13 04:00:13][MAIN] - Arduino found!
[2025-02-13 04:00:13][MAIN] - Actuator running.
[2025-02-13 04:00:13][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-13 04:00:14][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-13 04:00:17][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-13 04:00:17][MAIN] - IP 84.150.103.227 uploaded to:
[2025-02-13 04:00:17][MAIN] - https://storage.googleapis.com/ip-manager42.appspot.com/RaspberryPi-Cyan/ip_server.txt
[2025-02-13 04:00:18][MAIN] - To Arduino: STRIPTOPOFF
[2025-02-13 04:00:18][MAIN] - Pulling from GitHub: /home/claudio/Python-Projects/RoomServer
[2025-02-13 04:00:18][FLASK] -  * Serving Flask app 'server'
[2025-02-13 04:00:18][FLASK] -  * Debug mode: off
[2025-02-13 04:00:18][WEBSOCKET] -  * Serving Flask app 'websocket'
[2025-02-13 04:00:18][WEBSOCKET] -  * Debug mode: off
[2025-02-13 04:00:19][MAIN] - Already up to date.
[2025-02-13 04:00:19][MAIN] - Audio set on automatically
[2025-02-13 04:00:19][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-13 04:00:20][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-13 04:00:20][MAIN] - To Arduino: STRIPTOPG4
[2025-02-13 04:00:20][MAIN] - Command AUDIOON sent
[2025-02-13 04:00:20][MAIN] - To Arduino: LIGHTSOFF
[2025-02-13 04:03:19][MAIN] - Audio set off automatically
[2025-02-13 04:03:19][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-13 04:03:20][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-13 04:03:23][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-13 04:03:23][MAIN] - To Arduino: STRIPTOPOFF
[2025-02-13 04:03:23][MAIN] - Command AUDIOOFF sent
[2025-02-13 07:30:00][MAIN] - To Arduino: LIGHTSON
[2025-02-13 13:28:39][FLASK] - AUDIO: {'audio': 'on'}
[2025-02-13 13:28:39][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-13 13:28:40][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-13 13:28:40][FLASK] - STRIP: {'strip': 'topG4'}
[2025-02-13 13:28:40][MAIN] - To Arduino: STRIPTOPG4
[2025-02-13 13:28:40][MAIN] - Command AUDIOON sent
[2025-02-13 13:28:41][MAIN] - To Arduino: STRIPOFF
[2025-02-13 13:28:41][MAIN] - To Arduino: STRIPTOPDEF
[2025-02-13 13:28:41][MAIN] - To Arduino: STRIPON
